run,mode
316866,DECO
321651,DECO
321657,DECO
321654,DECO
325004,DECO
315759,DECO
315758,DECO
321718,DECO
321719,DECO
321892,DECO
317083,DECO
315753,DECO
318739,DECO
324062,DECO
324061,DECO
317065,DECO
316950,DECO
316599,DECO
316956,DECO
316957,DECO
316954,DECO
316040,DECO
316958,DECO
318046,DECO
318047,DECO
318045,DECO
324618,DECO
323578,DECO
319934,DECO
323577,DECO
323570,DECO
323571,DECO
323572,DECO
323573,DECO
321154,DECO
321624,DECO
321625,DECO
321622,DECO
316562,DECO
321620,DECO
321153,DECO
316446,DECO
324391,DECO
322915,DECO
322902,DECO
323456,DECO
316181,DECO
322909,DECO
320481,DECO
320480,DECO
320483,DECO
317615,DECO
315478,DECO
320484,DECO
315474,DECO
320488,DECO
315476,DECO
315472,DECO
322910,DECO
317584,DECO
317585,DECO
320715,DECO
320714,DECO
320717,DECO
317581,DECO
320719,DECO
320718,DECO
321668,DECO
320658,DECO
315802,DECO
315805,DECO
315804,DECO
315806,DECO
316605,DECO
320657,DECO
323628,DECO
323629,DECO
322357,DECO
322058,DECO
322059,DECO
315359,DECO
322050,DECO
322359,DECO
322358,DECO
319597,DECO
321438,DECO
319592,DECO
319591,DECO
321535,DECO
321666,DECO
321538,DECO
324240,DECO
323750,DECO
318519,PEAK
323752,DECO
318517,PEAK
318510,PEAK
318769,DECO
318768,DECO
318767,DECO
317442,DECO
319162,DECO
319163,DECO
322654,DECO
322650,DECO
322651,DECO
321327,DECO
317362,DECO
315652,DECO
321894,DECO
315795,DECO
315791,DECO
315792,DECO
317203,DECO
317202,DECO
315492,DECO
317207,DECO
317206,DECO
321442,DECO
321443,DECO
321264,DECO
321263,DECO
316004,DECO
316005,DECO
316006,DECO
321104,DECO
318169,DECO
318168,DECO
321720,DECO
317387,DECO
318161,DECO
318160,DECO
318163,DECO
318162,DECO
318165,DECO
318164,DECO
318167,DECO
318166,DECO
323097,DECO
322275,DECO
322276,DECO
321744,DECO
318646,PEAK
321740,DECO
321660,DECO
321194,DECO
321667,DECO
322948,DECO
316707,DECO
316706,DECO
316705,DECO
316704,DECO
320845,DECO
324059,DECO
322946,DECO
316093,DECO
316092,DECO
316091,DECO
316090,DECO
316096,DECO
316094,DECO
324056,DECO
324054,DECO
322549,DECO
324052,DECO
324053,DECO
323099,DECO
323098,DECO
320614,DECO
320616,DECO
323481,DECO
320893,DECO
317358,DECO
320890,DECO
316794,DECO
316087,DECO
320891,DECO
316792,DECO
316793,DECO
316177,DECO
318735,DECO
316178,DECO
316179,DECO
321963,DECO
321962,DECO
321964,DECO
317352,DECO
317351,DECO
316778,DECO
320041,DECO
320042,DECO
319888,DECO
319885,DECO
318048,DECO
320769,DECO
318049,DECO
317355,DECO
316831,DECO
316833,DECO
320765,DECO
320766,DECO
321499,DECO
321498,DECO
319536,DECO
319530,DECO
319533,DECO
319532,DECO
321493,DECO
322619,DECO
321495,DECO
316592,DECO
322168,DECO
322169,DECO
322164,DECO
322160,DECO
322163,DECO
324276,DECO
315539,DECO
318833,DECO
318832,DECO
318830,DECO
318129,DECO
315693,DECO
318839,DECO
321364,DECO
324900,DECO
324901,DECO
317228,DECO
325597,DECO
320464,DECO
320463,DECO
318422,DECO
321385,DECO
317579,DECO
321381,DECO
321380,DECO
318751,DECO
321222,DECO
323937,DECO
321389,DECO
319236,DECO
319237,DECO
319234,DECO
319235,DECO
319233,DECO
319230,DECO
319231,DECO
319239,DECO
315765,DECO
315534,DECO
317371,DECO
322326,DECO
324013,DECO
324010,DECO
324011,DECO
324014,DECO
318142,DECO
322413,DECO
317001,DECO
318172,DECO
318112,PEAK
318140,DECO
316945,DECO
318116,PEAK
318173,DECO
318118,PEAK
318050,DECO
324617,DECO
316585,DECO
316961,DECO
316586,DECO
323202,DECO
323201,DECO
323206,DECO
318633,PEAK
323205,DECO
317190,DECO
316512,DECO
321142,DECO
316459,DECO
316458,DECO
316516,DECO
316517,DECO
323677,DECO
316518,DECO
316519,DECO
321151,DECO
323585,DECO
321521,DECO
322917,DECO
323586,DECO
321152,DECO
321937,DECO
322919,DECO
322918,DECO
317605,DECO
317604,DECO
317600,DECO
317603,DECO
317602,DECO
315465,DECO
324941,DECO
317595,DECO
317592,DECO
320727,DECO
315260,DECO
320723,DECO
323109,DECO
316775,DECO
323100,DECO
323103,DECO
323105,DECO
323104,DECO
323107,DECO
323106,DECO
317464,DECO
323732,DECO
323733,DECO
323731,DECO
323631,DECO
324333,DECO
316642,DECO
322041,DECO
322046,DECO
316649,DECO
324944,DECO
324239,DECO
324940,DECO
321524,DECO
321527,DECO
321529,DECO
324231,DECO
319879,DECO
316840,DECO
316841,DECO
323740,DECO
323744,DECO
321619,DECO
320014,DECO
320605,DECO
319379,DECO
322645,DECO
322640,DECO
321352,DECO
324347,DECO
321350,DECO
321357,DECO
321895,DECO
324424,DECO
321297,DECO
319227,DECO
316531,DECO
321592,DECO
317234,DECO
320516,DECO
317236,DECO
321984,DECO
321983,DECO
321179,DECO
316548,DECO
316547,DECO
318158,DECO
318159,DECO
320489,DECO
319304,DECO
319302,DECO
319303,DECO
324641,DECO
317421,DECO
317422,DECO
321185,DECO
325063,DECO
321182,DECO
321181,DECO
320811,DECO
321189,DECO
317618,DECO
321675,DECO
321896,DECO
321881,DECO
316261,DECO
317160,DECO
321767,DECO
317162,DECO
317163,DECO
325604,DECO
325606,DECO
317642,DECO
317491,DECO
320608,DECO
317495,DECO
317496,DECO
317497,DECO
317498,DECO
316931,DECO
316932,DECO
320716,DECO
320607,DECO
316935,DECO
316936,DECO
321073,DECO
321072,DECO
316788,DECO
321077,DECO
321076,DECO
321075,DECO
321079,DECO
315745,DECO
317629,DECO
325083,DECO
320780,DECO
320781,DECO
322016,DECO
318782,DECO
321950,DECO
321951,DECO
321952,DECO
325087,DECO
323785,DECO
323783,DECO
323782,DECO
315353,DECO
325088,DECO
319507,DECO
319508,DECO
324344,DECO
322073,DECO
322071,DECO
322074,DECO
319136,DECO
318842,DECO
316284,DECO
318841,DECO
318844,DECO
324852,DECO
323676,DECO
323674,DECO
323679,DECO
318744,DECO
318746,DECO
318741,DECO
318740,DECO
321485,DECO
318742,DECO
319225,DECO
319224,DECO
325026,DECO
319226,DECO
325023,DECO
315771,DECO
315777,DECO
324410,DECO
324390,DECO
323822,DECO
321739,DECO
317172,DECO
317685,DECO
317265,DECO
317348,DECO
317349,DECO
320520,DECO
317684,DECO
317344,DECO
317346,DECO
317347,DECO
317342,DECO
317343,DECO
316023,DECO
316021,DECO
324009,DECO
321043,DECO
317687,DECO
316029,DECO
321047,DECO
321045,DECO
318266,DECO
318267,DECO
316976,DECO
316977,DECO
324776,DECO
318268,DECO
316973,DECO
318370,DECO
322422,DECO
315706,DECO
316500,DECO
317192,DECO
317194,DECO
321606,DECO
322192,DECO
323438,DECO
322922,DECO
321360,DECO
322925,DECO
322928,DECO
323435,DECO
323437,DECO
323436,DECO
317632,DECO
317634,DECO
316334,DECO
322361,DECO
316332,DECO
322551,DECO
322550,DECO
324708,DECO
320983,DECO
317230,DECO
316971,DECO
322999,DECO
316972,DECO
319616,DECO
318269,DECO
321532,DECO
323721,DECO
323720,DECO
323729,DECO
323728,DECO
323644,DECO
316016,DECO
320597,DECO
316654,DECO
322333,DECO
321531,DECO
316653,DECO
319860,DECO
315407,DECO
324224,DECO
323000,DECO
323001,DECO
323002,DECO
323003,DECO
316998,DECO
317428,DECO
321387,DECO
317251,DECO
322679,DECO
322670,DECO
322671,DECO
322673,DECO
322674,DECO
322675,DECO
322676,DECO
322677,DECO
321347,DECO
321346,DECO
324647,DECO
321382,DECO
322388,DECO
320445,DECO
320447,DECO
320446,DECO
320477,DECO
315530,DECO
320448,DECO
315537,DECO
323751,DECO
321169,DECO
317002,DECO
323859,DECO
323858,DECO
317557,DECO
321199,DECO
317418,DECO
317419,DECO
324539,DECO
325177,DECO
325066,DECO
323758,DECO
325067,DECO
325073,DECO
315624,DECO
315626,DECO
322097,DECO
322098,DECO
321766,DECO
321764,DECO
321763,DECO
321762,DECO
321761,DECO
321889,DECO
316273,DECO
316274,DECO
318136,DECO
322923,DECO
318133,DECO
323829,DECO
323826,DECO
323827,DECO
323824,DECO
324073,DECO
324074,DECO
324075,DECO
323820,DECO
316883,DECO
317489,DECO
321372,DECO
322512,DECO
324623,DECO
317443,DECO
316474,DECO
321086,DECO
321087,DECO
321085,DECO
321083,DECO
321080,DECO
321081,DECO
323440,DECO
321373,DECO
320493,DECO
321948,DECO
320494,DECO
321943,DECO
321942,DECO
316204,DECO
316205,DECO
321947,DECO
321946,DECO
321945,DECO
321944,DECO
320702,DECO
320700,DECO
320068,DECO
320704,DECO
315811,DECO
315814,DECO
315818,DECO
320660,DECO
318455,DECO
318452,DECO
322349,DECO
324252,DECO
321938,DECO
321939,DECO
324259,DECO
322342,DECO
322343,DECO
318521,PEAK
