run,mode
301789,DECO
301788,DECO
305444,DECO
305446,DECO
299943,DECO
305443,DECO
306294,DECO
296780,DECO
296781,DECO
306931,DECO
306932,DECO
302538,DECO
304610,DECO
304611,DECO
301361,DECO
302537,DECO
297344,DECO
294696,DECO
298959,DECO
302480,DECO
301879,DECO
301878,DECO
301972,DECO
301973,DECO
306806,DECO
300357,DECO
301873,DECO
301872,DECO
301875,DECO
301874,DECO
303615,DECO
299214,DECO
299198,DECO
306032,DECO
299195,DECO
299196,DECO
299218,DECO
296719,DECO
299359,DECO
299351,DECO
302580,DECO
298956,DECO
299422,DECO
305875,DECO
295729,DECO
305876,DECO
305873,DECO
295723,DECO
295721,DECO
297345,DECO
295726,DECO
295725,DECO
304727,DECO
304724,DECO
304725,DECO
304728,DECO
295118,DECO
299101,DECO
303507,DECO
295117,DECO
302058,DECO
302056,DECO
302057,DECO
302055,DECO
304201,DECO
301300,DECO
304205,DECO
298923,DECO
306556,DECO
306555,DECO
294898,DECO
302071,DECO
303920,DECO
302403,DECO
304028,DECO
305083,DECO
304020,DECO
304023,DECO
300380,DECO
300229,DECO
300228,DECO
301628,DECO
301629,DECO
306053,DECO
303477,DECO
297121,DECO
297120,DECO
302575,DECO
297719,DECO
301301,DECO
305090,DECO
305095,DECO
304652,DECO
304651,DECO
302477,DECO
299361,DECO
301930,DECO
301931,DECO
301932,DECO
297449,DECO
301933,DECO
305903,DECO
297392,DECO
297393,DECO
299310,DECO
302226,DECO
298386,DECO
305110,DECO
303937,DECO
303106,DECO
299503,DECO
298992,DECO
299500,DECO
299509,DECO
303108,DECO
295671,DECO
300009,DECO
306066,DECO
300003,DECO
295789,DECO
296727,DECO
296724,DECO
299619,DECO
296723,DECO
295780,DECO
304673,DECO
299222,DECO
296728,DECO
302655,DECO
302656,DECO
299383,DECO
307064,DECO
307065,DECO
304644,DECO
295713,DECO
299618,DECO
295716,DECO
295717,DECO
295715,DECO
295718,DECO
298961,DECO
301059,DECO
307024,DECO
306151,DECO
299311,DECO
301703,DECO
300507,DECO
301701,DECO
301700,DECO
300263,DECO
300264,DECO
295701,DECO
299346,DECO
306763,DECO
301465,DECO
301462,DECO
301463,DECO
306564,DECO
299483,DECO
300506,DECO
300942,DECO
297452,DECO
298034,DECO
302435,DECO
298036,DECO
298037,DECO
302430,DECO
305353,DECO
301787,DECO
305949,DECO
