run,mode
259734,DECO
259736,DECO
259732,DECO
259733,DECO
259739,DECO
258522,DECO
259308,DECO
259765,DECO
254967,DECO
256900,DECO
256901,DECO
256906,DECO
256907,DECO
256905,DECO
256908,DECO
261640,DECO
259783,DECO
259784,DECO
259787,DECO
259786,DECO
259789,DECO
259788,DECO
248691,DECO
257463,DECO
248693,DECO
248697,DECO
248696,DECO
248698,DECO
257468,DECO
251910,PEAK
262030,DECO
262033,DECO
257230,PEAK
254345,DECO
258325,DECO
258327,DECO
256390,DECO
253730,PEAK
254866,DECO
258634,DECO
252072,DECO
258736,DECO
247768,DECO
260596,DECO
261455,DECO
254472,DECO
247765,DECO
247766,DECO
247767,DECO
254221,DECO
252082,DECO
251770,DECO
252089,PEAK
254770,PEAK
247740,DECO
258622,DECO
257935,DECO
254603,DECO
258180,DECO
259513,DECO
260674,DECO
251173,DECO
251171,DECO
251175,DECO
257602,DECO
257603,DECO
257601,DECO
254597,DECO
254596,DECO
254595,DECO
257605,DECO
254295,DECO
257495,DECO
258102,DECO
248606,DECO
254670,DECO
254671,DECO
248607,DECO
259583,DECO
258112,DECO
262255,DECO
258293,DECO
254687,DECO
254683,DECO
254681,DECO
254680,DECO
258108,DECO
251392,PEAK
254689,DECO
254688,DECO
251550,DECO
251551,DECO
251552,DECO
251555,DECO
259864,DECO
257501,DECO
257503,DECO
257502,DECO
251898,PEAK
251953,PEAK
251897,PEAK
251959,PEAK
261808,DECO
257377,DECO
257375,DECO
259767,DECO
257378,DECO
258164,DECO
258162,DECO
258163,DECO
258161,DECO
258169,DECO
256894,DECO
256897,DECO
261805,DECO
261804,DECO
261807,DECO
261806,DECO
261801,DECO
261803,DECO
253699,PEAK
254826,DECO
248703,DECO
248702,DECO
248700,DECO
248705,DECO
248704,DECO
251736,DECO
256877,DECO
257464,DECO
259249,DECO
257465,DECO
261784,DECO
252025,PEAK
254916,DECO
256426,DECO
252029,PEAK
252028,PEAK
253829,PEAK
254857,PEAK
254854,DECO
254855,DECO
256631,DECO
256632,DECO
248676,DECO
251606,DECO
261783,DECO
259546,DECO
259542,DECO
259935,DECO
259933,DECO
259930,DECO
250935,DECO
256451,DECO
255038,DECO
257650,DECO
259942,DECO
261641,DECO
261633,DECO
261738,DECO
261638,DECO
261735,DECO
256259,DECO
256257,DECO
256254,DECO
256255,DECO
256250,DECO
255726,PEAK
255720,PEAK
255684,PEAK
255686,PEAK
255682,PEAK
255683,PEAK
255667,PEAK
255665,PEAK
251868,DECO
255669,PEAK
256007,PEAK
259779,DECO
251907,PEAK
259616,DECO
259615,DECO
259614,DECO
251902,PEAK
258231,DECO
258337,DECO
251965,PEAK
254921,DECO
247777,DECO
247775,DECO
254958,DECO
254952,DECO
252062,DECO
247778,DECO
261447,DECO
260585,DECO
251769,DECO
251768,DECO
254215,DECO
261743,DECO
252110,DECO
260648,DECO
258697,DECO
258753,DECO
258752,DECO
257619,DECO
257755,DECO
257757,DECO
254881,DECO
247780,DECO
254882,DECO
257617,DECO
248649,DECO
254369,DECO
251792,DECO
251790,DECO
251791,DECO
256359,DECO
256358,DECO
254663,DECO
254662,DECO
254665,DECO
259801,DECO
258470,DECO
258472,DECO
258474,DECO
251671,DECO
251386,PEAK
261454,DECO
259873,PEAK
259871,PEAK
251544,DECO
259876,DECO
251942,PEAK
251941,PEAK
259657,DECO
259656,DECO
251944,PEAK
257535,DECO
254718,DECO
257533,DECO
259894,DECO
259896,DECO
259893,DECO
256281,DECO
256283,DECO
259481,DECO
256284,DECO
256883,DECO
256882,DECO
255718,PEAK
255719,PEAK
255716,PEAK
255692,PEAK
255714,PEAK
255712,PEAK
259804,DECO
255710,PEAK
255711,PEAK
259805,DECO
260543,DECO
254120,DECO
259802,DECO
260549,DECO
260548,DECO
256876,DECO
251729,DECO
251930,PEAK
251931,PEAK
251939,PEAK
256407,DECO
256875,DECO
259252,DECO
256873,DECO
247206,DECO
260689,DECO
256927,DECO
252015,PEAK
258716,DECO
260729,DECO
252152,PEAK
248680,DECO
247748,DECO
251619,DECO
251618,DECO
251576,PEAK
248609,DECO
257499,DECO
257498,DECO
257496,DECO
251206,PEAK
257493,DECO
254321,DECO
257491,DECO
254323,DECO
251406,PEAK
250904,DECO
259438,DECO
259433,DECO
259924,DECO
254503,DECO
259437,DECO
250909,DECO
251503,DECO
251504,DECO
258489,DECO
259289,DECO
254619,DECO
258502,DECO
258504,DECO
258505,DECO
258506,DECO
258507,DECO
255699,PEAK
256450,DECO
247205,DECO
247204,DECO
256433,DECO
255694,PEAK
259842,DECO
251572,DECO
254502,DECO
254118,DECO
254112,DECO
254111,DECO
251876,DECO
259741,DECO
259740,DECO
259661,DECO
259666,DECO
258225,DECO
259870,PEAK
258220,DECO
262046,DECO
260579,DECO
251946,PEAK
257384,DECO
257382,DECO
260650,PEAK
260656,PEAK
252129,DECO
254385,DECO
257624,DECO
257625,DECO
258680,DECO
257621,DECO
258684,DECO
260713,DECO
260711,PEAK
257629,DECO
254375,DECO
248656,DECO
254478,DECO
248653,DECO
254909,DECO
254475,DECO
257741,DECO
251789,DECO
251788,DECO
251783,DECO
251785,DECO
252059,DECO
254270,DECO
262279,DECO
259567,DECO
254594,DECO
259562,DECO
256809,DECO
256808,DECO
259532,DECO
256804,DECO
262059,DECO
259794,DECO
259795,DECO
254795,DECO
255704,PEAK
255707,PEAK
255706,PEAK
256872,DECO
255700,PEAK
256871,DECO
248682,DECO
261436,DECO
248687,DECO
248685,DECO
247629,DECO
247628,DECO
248688,DECO
248689,DECO
254870,PEAK
251920,PEAK
251923,PEAK
262029,DECO
257222,PEAK
247750,DECO
254976,DECO
258721,DECO
254786,DECO
247755,DECO
247754,DECO
254874,DECO
260443,DECO
251585,PEAK
251584,PEAK
254233,DECO
254782,DECO
254239,PEAK
255713,PEAK
252090,PEAK
254781,DECO
262332,DECO
262330,DECO
250910,DECO
259528,DECO
255729,PEAK
254334,DECO
259845,DECO
260664,PEAK
259436,DECO
260697,PEAK
260695,PEAK
260692,DECO
251264,DECO
251265,DECO
252130,DECO
259357,DECO
259297,DECO
258107,DECO
259590,DECO
258519,DECO
258518,DECO
259986,DECO
260068,DECO
256837,DECO
256838,DECO
256930,DECO
259850,DECO
259853,DECO
259852,DECO
254517,DECO
254516,DECO
254690,DECO
254693,DECO
251569,DECO
254695,DECO
251889,PEAK
251887,DECO
251885,DECO
262068,DECO
262331,DECO
259774,DECO
259775,DECO
262063,DECO
251963,PEAK
259675,DECO
251964,PEAK
259677,DECO
258217,DECO
258218,DECO
254838,DECO
254835,DECO
254836,DECO
254837,DECO
251701,PEAK
251703,PEAK
251702,PEAK
251784,DECO
255846,PEAK
255845,PEAK
255843,PEAK
254899,DECO
257583,DECO
256112,PEAK
256115,PEAK
257584,DECO
259752,DECO
252037,PEAK
252030,PEAK
252031,PEAK
252135,PEAK
252134,PEAK
252133,DECO
252039,DECO
259617,DECO
257630,DECO
